DA Step: 1  | Current Entropy: 56.102
DA Step: 2  | Current Entropy: 59.912
DA Step: 3  | Current Entropy: 63.188
DA Step: 4  | Current Entropy: 63.433
DA Step: 5  | Current Entropy: 64.811
DA Step: 6  | Current Entropy: 68.458
DA Step: 7  | Current Entropy: 68.968
DA Step: 8  | Current Entropy: 70.014
DA Step: 9  | Current Entropy: 82.558
DA Step: 10  | Current Entropy: 82.691
DA Step: 11  | Current Entropy: 88.527
DA Step: 12  | Current Entropy: 96.479
DA Step: 13  | Current Entropy: 96.542
DA Step: 14  | Current Entropy: 96.751
DA Step: 15  | Current Entropy: 101.005
DA Step: 16  | Current Entropy: 104.408
DA Step: 17  | Current Entropy: 104.524
DA Step: 18  | Current Entropy: 105.413
DA Step: 19  | Current Entropy: 112.63
DA Step: 20  | Current Entropy: 114.559
DA Step: 21  | Current Entropy: 115.274
DA Step: 22  | Current Entropy: 114.854
DA Step: 23  | Current Entropy: 115.126
DA Step: 24  | Current Entropy: 115.122
DA Step: 25  | Current Entropy: 115.359
DA Step: 26  | Current Entropy: 116.062
DA Step: 27  | Current Entropy: 116.203
DA Step: 28  | Current Entropy: 117.689
DA Step: 29  | Current Entropy: 117.684
DA Step: 30  | Current Entropy: 117.719
DA Step: 31  | Current Entropy: 117.574
DA Step: 32  | Current Entropy: 117.698
DA Step: 33  | Current Entropy: 118.234
DA Step: 34  | Current Entropy: 118.583
DA Step: 35  | Current Entropy: 121.531
DA Step: 36  | Current Entropy: 122.207
DA Step: 37  | Current Entropy: 129.373
DA Step: 38  | Current Entropy: 130.812
DA Step: 39  | Current Entropy: 133.48
DA Step: 40  | Current Entropy: 134.316
DA Step: 41  | Current Entropy: 135.114
DA Step: 42  | Current Entropy: 135.387
DA Step: 43  | Current Entropy: 138.337
DA Step: 44  | Current Entropy: 138.684
DA Step: 45  | Current Entropy: 138.671
DA Step: 46  | Current Entropy: 138.989
DA Step: 47  | Current Entropy: 139.053
DA Step: 48  | Current Entropy: 139.684
DA Step: 49  | Current Entropy: 139.906
DA Step: 50  | Current Entropy: 139.946
DA Step: 51  | Current Entropy: 140.156
DA Step: 52  | Current Entropy: 140.256
DA Step: 53  | Current Entropy: 140.338
DA Step: 54  | Current Entropy: 140.583
DA Step: 55  | Current Entropy: 140.551
DA Step: 56  | Current Entropy: 140.736
DA Step: 57  | Current Entropy: 140.762
DA Step: 58  | Current Entropy: 140.896
DA Step: 59  | Current Entropy: 140.896
DA Step: 60  | Current Entropy: 141.128
DA Step: 61  | Current Entropy: 141.121
DA Step: 62  | Current Entropy: 141.427
DA Step: 63  | Current Entropy: 142.488
DA Step: 64  | Current Entropy: 142.488
DA Step: 65  | Current Entropy: 142.468
DA Step: 66  | Current Entropy: 142.53
