DA Step: 1  | Current Entropy: 42.291
DA Step: 2  | Current Entropy: 42.483
DA Step: 3  | Current Entropy: 42.637
DA Step: 4  | Current Entropy: 43.362
DA Step: 5  | Current Entropy: 43.335
DA Step: 6  | Current Entropy: 45.913
DA Step: 7  | Current Entropy: 46.811
DA Step: 8  | Current Entropy: 68.41
DA Step: 9  | Current Entropy: 69.118
DA Step: 10  | Current Entropy: 69.223
DA Step: 11  | Current Entropy: 69.433
DA Step: 12  | Current Entropy: 72.004
DA Step: 13  | Current Entropy: 74.48
DA Step: 14  | Current Entropy: 75.386
DA Step: 15  | Current Entropy: 75.566
DA Step: 16  | Current Entropy: 77.521
DA Step: 17  | Current Entropy: 77.662
DA Step: 18  | Current Entropy: 79.616
DA Step: 19  | Current Entropy: 80.494
DA Step: 20  | Current Entropy: 80.653
DA Step: 21  | Current Entropy: 82.796
DA Step: 22  | Current Entropy: 87.21
DA Step: 23  | Current Entropy: 87.777
DA Step: 24  | Current Entropy: 87.968
DA Step: 25  | Current Entropy: 88.003
DA Step: 26  | Current Entropy: 88.705
DA Step: 27  | Current Entropy: 89.158
DA Step: 28  | Current Entropy: 89.139
