DA Step: 1  | Current Entropy: 44.4660x7efd0de71de0
DA Step: 2  | Current Entropy: 45.8240x7efd0de71de0
DA Step: 3  | Current Entropy: 58.0670x7efd0de71de0
DA Step: 4  | Current Entropy: 60.2170x7efd0de71de0
DA Step: 5  | Current Entropy: 60.3030x7efd0de71de0
DA Step: 6  | Current Entropy: 60.3560x7efd0de71de0
DA Step: 7  | Current Entropy: 61.8260x7efd0de71de0
DA Step: 8  | Current Entropy: 65.6220x7efd0de71de0
DA Step: 9  | Current Entropy: 65.6190x7efd0de71de0
DA Step: 10  | Current Entropy: 66.2390x7efd0de71de0
DA Step: 11  | Current Entropy: 70.7550x7efd0de71de0
DA Step: 12  | Current Entropy: 70.8460x7efd0de71de0
DA Step: 13  | Current Entropy: 76.640x7efd0de71de0
DA Step: 14  | Current Entropy: 85.0530x7efd0de71de0
DA Step: 15  | Current Entropy: 85.0750x7efd0de71de0
DA Step: 16  | Current Entropy: 87.0370x7efd0de71de0
DA Step: 17  | Current Entropy: 93.4230x7efd0de71de0
DA Step: 18  | Current Entropy: 97.3320x7efd0de71de0
DA Step: 19  | Current Entropy: 99.3740x7efd0de71de0
DA Step: 20  | Current Entropy: 102.2460x7efd0de71de0
DA Step: 21  | Current Entropy: 109.1840x7efd0de71de0
DA Step: 22  | Current Entropy: 111.0690x7efd0de71de0
DA Step: 23  | Current Entropy: 111.3720x7efd0de71de0
DA Step: 24  | Current Entropy: 111.4670x7efd0de71de0
DA Step: 25  | Current Entropy: 111.7880x7efd0de71de0
DA Step: 26  | Current Entropy: 111.8630x7efd0de71de0
DA Step: 27  | Current Entropy: 112.130x7efd0de71de0
DA Step: 28  | Current Entropy: 112.140x7efd0de71de0
DA Step: 29  | Current Entropy: 112.980x7efd0de71de0
DA Step: 30  | Current Entropy: 115.1480x7efd0de71de0
DA Step: 31  | Current Entropy: 116.5730x7efd0de71de0
DA Step: 32  | Current Entropy: 116.8360x7efd0de71de0
DA Step: 33  | Current Entropy: 117.4650x7efd0de71de0
DA Step: 34  | Current Entropy: 117.7740x7efd0de71de0
DA Step: 35  | Current Entropy: 119.7340x7efd0de71de0
DA Step: 36  | Current Entropy: 119.7590x7efd0de71de0
DA Step: 37  | Current Entropy: 123.6780x7efd0de71de0
