DA Step: 1  | Current Entropy: 38.7790x7fdc3bb8bde0
DA Step: 2  | Current Entropy: 44.1770x7fdc3bb8bde0
DA Step: 3  | Current Entropy: 56.4330x7fdc3bb8bde0
DA Step: 4  | Current Entropy: 74.5110x7fdc3bb8bde0
DA Step: 5  | Current Entropy: 77.5810x7fdc3bb8bde0
DA Step: 6  | Current Entropy: 80.2960x7fdc3bb8bde0
DA Step: 7  | Current Entropy: 87.8810x7fdc3bb8bde0
DA Step: 8  | Current Entropy: 94.6560x7fdc3bb8bde0
DA Step: 9  | Current Entropy: 95.2950x7fdc3bb8bde0
DA Step: 10  | Current Entropy: 96.5230x7fdc3bb8bde0
DA Step: 11  | Current Entropy: 97.6920x7fdc3bb8bde0
DA Step: 12  | Current Entropy: 104.4550x7fdc3bb8bde0
DA Step: 13  | Current Entropy: 105.0290x7fdc3bb8bde0
DA Step: 14  | Current Entropy: 105.3640x7fdc3bb8bde0
DA Step: 15  | Current Entropy: 106.7190x7fdc3bb8bde0
DA Step: 16  | Current Entropy: 107.8290x7fdc3bb8bde0
DA Step: 17  | Current Entropy: 108.7020x7fdc3bb8bde0
DA Step: 18  | Current Entropy: 108.7130x7fdc3bb8bde0
DA Step: 19  | Current Entropy: 108.8340x7fdc3bb8bde0
DA Step: 20  | Current Entropy: 108.8940x7fdc3bb8bde0
DA Step: 21  | Current Entropy: 113.3760x7fdc3bb8bde0
DA Step: 22  | Current Entropy: 113.4770x7fdc3bb8bde0
DA Step: 23  | Current Entropy: 113.4480x7fdc3bb8bde0
DA Step: 24  | Current Entropy: 114.6530x7fdc3bb8bde0
DA Step: 25  | Current Entropy: 114.7770x7fdc3bb8bde0
DA Step: 26  | Current Entropy: 119.5230x7fdc3bb8bde0
DA Step: 27  | Current Entropy: 119.5220x7fdc3bb8bde0
DA Step: 28  | Current Entropy: 119.7370x7fdc3bb8bde0
DA Step: 29  | Current Entropy: 119.9640x7fdc3bb8bde0
DA Step: 30  | Current Entropy: 120.0130x7fdc3bb8bde0
