DA Step: 1  | Current Entropy: 56.3530x7fd8dcf34de0
DA Step: 2  | Current Entropy: 58.3030x7fd8dcf34de0
DA Step: 3  | Current Entropy: 58.6680x7fd8dcf34de0
DA Step: 4  | Current Entropy: 58.8870x7fd8dcf34de0
DA Step: 5  | Current Entropy: 58.9340x7fd8dcf34de0
DA Step: 6  | Current Entropy: 62.210x7fd8dcf34de0
DA Step: 7  | Current Entropy: 63.1790x7fd8dcf34de0
DA Step: 8  | Current Entropy: 65.0350x7fd8dcf34de0
DA Step: 9  | Current Entropy: 65.2860x7fd8dcf34de0
DA Step: 10  | Current Entropy: 76.2530x7fd8dcf34de0
DA Step: 11  | Current Entropy: 78.0880x7fd8dcf34de0
DA Step: 12  | Current Entropy: 78.3890x7fd8dcf34de0
DA Step: 13  | Current Entropy: 84.0590x7fd8dcf34de0
DA Step: 14  | Current Entropy: 86.7210x7fd8dcf34de0
DA Step: 15  | Current Entropy: 87.7310x7fd8dcf34de0
DA Step: 16  | Current Entropy: 90.0470x7fd8dcf34de0
DA Step: 17  | Current Entropy: 91.5990x7fd8dcf34de0
DA Step: 18  | Current Entropy: 97.0310x7fd8dcf34de0
DA Step: 19  | Current Entropy: 101.7470x7fd8dcf34de0
DA Step: 20  | Current Entropy: 101.7720x7fd8dcf34de0
DA Step: 21  | Current Entropy: 102.7850x7fd8dcf34de0
DA Step: 22  | Current Entropy: 107.3570x7fd8dcf34de0
DA Step: 23  | Current Entropy: 108.0780x7fd8dcf34de0
DA Step: 24  | Current Entropy: 113.7440x7fd8dcf34de0
DA Step: 25  | Current Entropy: 117.6240x7fd8dcf34de0
DA Step: 26  | Current Entropy: 121.7710x7fd8dcf34de0
