DA Step: 1  | Current Entropy: 0
DA Step: 2  | Current Entropy: 0
DA Step: 3  | Current Entropy: 0
DA Step: 4  | Current Entropy: 0
DA Step: 5  | Current Entropy: 0
DA Step: 6  | Current Entropy: 0
DA Step: 7  | Current Entropy: 0
DA Step: 8  | Current Entropy: 0
DA Step: 9  | Current Entropy: 0
DA Step: 10  | Current Entropy: 0
DA Step: 11  | Current Entropy: 0
DA Step: 12  | Current Entropy: 0
DA Step: 13  | Current Entropy: 0
DA Step: 14  | Current Entropy: 0
DA Step: 15  | Current Entropy: 0
DA Step: 16  | Current Entropy: 0
DA Step: 17  | Current Entropy: 0
DA Step: 18  | Current Entropy: 0
DA Step: 19  | Current Entropy: 0
DA Step: 20  | Current Entropy: 0
DA Step: 21  | Current Entropy: 0
DA Step: 22  | Current Entropy: 0
DA Step: 23  | Current Entropy: 0
DA Step: 24  | Current Entropy: 0
DA Step: 25  | Current Entropy: 0
DA Step: 26  | Current Entropy: 0
DA Step: 27  | Current Entropy: 0
DA Step: 28  | Current Entropy: 0
DA Step: 29  | Current Entropy: 0
DA Step: 30  | Current Entropy: 0
DA Step: 31  | Current Entropy: 0
DA Step: 32  | Current Entropy: 0
DA Step: 33  | Current Entropy: 0
DA Step: 34  | Current Entropy: 0
DA Step: 35  | Current Entropy: 0
DA Step: 36  | Current Entropy: 0
DA Step: 37  | Current Entropy: 0
DA Step: 38  | Current Entropy: 0
DA Step: 39  | Current Entropy: 0
DA Step: 40  | Current Entropy: 0
DA Step: 41  | Current Entropy: 0
DA Step: 42  | Current Entropy: 0
DA Step: 43  | Current Entropy: 0
DA Step: 44  | Current Entropy: 0
DA Step: 45  | Current Entropy: 0
DA Step: 46  | Current Entropy: 0
DA Step: 47  | Current Entropy: 0
DA Step: 48  | Current Entropy: 0
DA Step: 49  | Current Entropy: 0
DA Step: 50  | Current Entropy: 0
DA Step: 51  | Current Entropy: 0
DA Step: 52  | Current Entropy: 0
DA Step: 53  | Current Entropy: 0
DA Step: 54  | Current Entropy: 0
DA Step: 55  | Current Entropy: 0
DA Step: 56  | Current Entropy: 0
DA Step: 57  | Current Entropy: 0
DA Step: 58  | Current Entropy: 0
DA Step: 59  | Current Entropy: 0
DA Step: 60  | Current Entropy: 0
DA Step: 61  | Current Entropy: 0
DA Step: 62  | Current Entropy: 0
DA Step: 63  | Current Entropy: 0
DA Step: 64  | Current Entropy: 0
DA Step: 65  | Current Entropy: 0
DA Step: 66  | Current Entropy: 0
DA Step: 67  | Current Entropy: 0
DA Step: 68  | Current Entropy: 0
DA Step: 69  | Current Entropy: 0
DA Step: 70  | Current Entropy: 0
DA Step: 71  | Current Entropy: 0
DA Step: 72  | Current Entropy: 0
DA Step: 73  | Current Entropy: 0
DA Step: 74  | Current Entropy: 0
DA Step: 75  | Current Entropy: 0
DA Step: 76  | Current Entropy: 0
DA Step: 77  | Current Entropy: 0
DA Step: 78  | Current Entropy: 0
DA Step: 79  | Current Entropy: 0
DA Step: 80  | Current Entropy: 0
DA Step: 81  | Current Entropy: 0
DA Step: 82  | Current Entropy: 0
DA Step: 83  | Current Entropy: 0
DA Step: 84  | Current Entropy: 0
DA Step: 85  | Current Entropy: 0
