DA Step: 1  | Current Entropy: 12.364
DA Step: 2  | Current Entropy: 17.197
DA Step: 3  | Current Entropy: 22.124
DA Step: 4  | Current Entropy: 22.702
DA Step: 5  | Current Entropy: 29.843
DA Step: 6  | Current Entropy: 35.88
DA Step: 7  | Current Entropy: 41.832
DA Step: 8  | Current Entropy: 51.436
DA Step: 9  | Current Entropy: 57.684
DA Step: 10  | Current Entropy: 68.873
DA Step: 11  | Current Entropy: 71.266
DA Step: 12  | Current Entropy: 71.305
DA Step: 13  | Current Entropy: 71.411
DA Step: 14  | Current Entropy: 71.461
DA Step: 15  | Current Entropy: 71.655
DA Step: 16  | Current Entropy: 73.738
DA Step: 17  | Current Entropy: 73.834
DA Step: 18  | Current Entropy: 74.398
DA Step: 19  | Current Entropy: 74.88
DA Step: 20  | Current Entropy: 75.061
DA Step: 21  | Current Entropy: 75.233
DA Step: 22  | Current Entropy: 75.326
DA Step: 23  | Current Entropy: 76.938
DA Step: 24  | Current Entropy: 91.206
DA Step: 25  | Current Entropy: 97.057
DA Step: 26  | Current Entropy: 100.815
