DA Step: 1  | Current Entropy: 69.738
DA Step: 2  | Current Entropy: 70.258
DA Step: 3  | Current Entropy: 78.28
DA Step: 4  | Current Entropy: 93.698
DA Step: 5  | Current Entropy: 94.292
DA Step: 6  | Current Entropy: 94.525
DA Step: 7  | Current Entropy: 95.669
DA Step: 8  | Current Entropy: 96.32
DA Step: 9  | Current Entropy: 96.378
DA Step: 10  | Current Entropy: 96.622
DA Step: 11  | Current Entropy: 96.622
DA Step: 12  | Current Entropy: 96.651
DA Step: 13  | Current Entropy: 100.643
DA Step: 14  | Current Entropy: 101.751
DA Step: 15  | Current Entropy: 105.463
DA Step: 16  | Current Entropy: 105.884
DA Step: 17  | Current Entropy: 107.162
DA Step: 18  | Current Entropy: 107.126
DA Step: 19  | Current Entropy: 107.71
DA Step: 20  | Current Entropy: 107.878
DA Step: 21  | Current Entropy: 107.926
DA Step: 22  | Current Entropy: 107.958
DA Step: 23  | Current Entropy: 115.801
DA Step: 24  | Current Entropy: 115.816
DA Step: 25  | Current Entropy: 115.763
DA Step: 26  | Current Entropy: 115.722
DA Step: 27  | Current Entropy: 123.501
DA Step: 28  | Current Entropy: 123.808
DA Step: 29  | Current Entropy: 124.887
DA Step: 30  | Current Entropy: 124.843
DA Step: 31  | Current Entropy: 124.818
DA Step: 32  | Current Entropy: 126.943
DA Step: 33  | Current Entropy: 127.858
DA Step: 34  | Current Entropy: 129.731
DA Step: 35  | Current Entropy: 129.903
DA Step: 36  | Current Entropy: 130.286
