DA Step: 1  | Current Entropy: 47.095
DA Step: 2  | Current Entropy: 51.102
DA Step: 3  | Current Entropy: 54.557
DA Step: 4  | Current Entropy: 55.102
DA Step: 5  | Current Entropy: 55.559
DA Step: 6  | Current Entropy: 57.64
DA Step: 7  | Current Entropy: 58.306
DA Step: 8  | Current Entropy: 58.405
DA Step: 9  | Current Entropy: 59.505
DA Step: 10  | Current Entropy: 59.566
DA Step: 11  | Current Entropy: 69.072
DA Step: 12  | Current Entropy: 70.949
DA Step: 13  | Current Entropy: 70.885
DA Step: 14  | Current Entropy: 74.232
DA Step: 15  | Current Entropy: 79.34
DA Step: 16  | Current Entropy: 79.457
DA Step: 17  | Current Entropy: 79.473
DA Step: 18  | Current Entropy: 81.722
DA Step: 19  | Current Entropy: 81.698
DA Step: 20  | Current Entropy: 82.417
DA Step: 21  | Current Entropy: 82.423
DA Step: 22  | Current Entropy: 82.69
DA Step: 23  | Current Entropy: 82.699
DA Step: 24  | Current Entropy: 82.86
DA Step: 25  | Current Entropy: 82.854
DA Step: 26  | Current Entropy: 82.849
DA Step: 27  | Current Entropy: 86.356
DA Step: 28  | Current Entropy: 90.284
DA Step: 29  | Current Entropy: 92.116
DA Step: 30  | Current Entropy: 92.172
DA Step: 31  | Current Entropy: 94.215
DA Step: 32  | Current Entropy: 94.492
DA Step: 33  | Current Entropy: 94.99
DA Step: 34  | Current Entropy: 95.083
DA Step: 35  | Current Entropy: 98.717
DA Step: 36  | Current Entropy: 103.293
DA Step: 37  | Current Entropy: 103.472
DA Step: 38  | Current Entropy: 104.229
DA Step: 39  | Current Entropy: 105.379
DA Step: 40  | Current Entropy: 109.104
DA Step: 41  | Current Entropy: 117.749
DA Step: 42  | Current Entropy: 118.571
DA Step: 43  | Current Entropy: 119.159
DA Step: 44  | Current Entropy: 120.156
DA Step: 45  | Current Entropy: 120.4
DA Step: 46  | Current Entropy: 120.377
DA Step: 47  | Current Entropy: 120.821
DA Step: 48  | Current Entropy: 120.864
DA Step: 49  | Current Entropy: 120.988
DA Step: 50  | Current Entropy: 121.517
DA Step: 51  | Current Entropy: 126.168
DA Step: 52  | Current Entropy: 126.773
